"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"sw-ExchangeForm-WoundComprehensiveHistory-model","","","",0,*,"","","","","","A collection of all information about a single wound, possibly including many observations taken by different people at different times. Everything in the aggregation relates to the same wound.","","","","","","","","","",,,,,"",,,,"sw-ExchangeForm-WoundComprehensiveHistory-model",0,*,"",""
"sw-ExchangeForm-WoundComprehensiveHistory-model.subject","","","",1,1,"","","","http://hl7.org/fhir/us/sw/StructureDefinition/sw-Wound-model {[]} {[]}
","The person, place, event, condition, other statement that this statement addresses or belongs to.","The person, place, event, condition, other statement that this statement addresses or belongs to.
For an existential finding, the Subject is the 'owner' of the object said to exist or not exist. For example, the subject for a condition is a patient; the subject for wound size is a wound. Subjects are themselves statements.","","","","","","","","","",,,,,"http://snomed.info/sct#416462003 (Wound (disorder))
",,,,"sw-ExchangeForm-WoundComprehensiveHistory-model.subject",1,1,"",""
"sw-ExchangeForm-WoundComprehensiveHistory-model.typeCode","","","",1,1,"","","","Coding {[]} {[]}
","A code that describes the type of composition or section, such as a section or document type identifier.","A code that describes the type of composition or section, such as a section or document type identifier.","","","","","","","","","",,,,,"",,,,"sw-ExchangeForm-WoundComprehensiveHistory-model.typeCode",1,1,"",""
"sw-ExchangeForm-WoundComprehensiveHistory-model.typeCode.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"sw-ExchangeForm-WoundComprehensiveHistory-model.typeCode.extension","","","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"",""
"sw-ExchangeForm-WoundComprehensiveHistory-model.typeCode.system","","","",1,1,"","","Y","uri {[]} {[]}
","Identity of the terminology system","The identification of the code system that defines the meaning of the symbol in the code.","The URI may be an OID (urn:oid:...) or a UUID (urn:uuid:...).  OIDs and UUIDs SHALL be references to the HL7 OID registry. Otherwise, the URI should come from HL7's list of FHIR defined special URIs or it should de-reference to some definition that establish the system clearly and unambiguously.","Need to be unambiguous about the source of the definition of the symbol.","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://loinc.org""/>","","","","",,,,,"",,,,"Coding.system",0,1,"",""
"sw-ExchangeForm-WoundComprehensiveHistory-model.typeCode.version","","","",0,1,"","","Y","string {[]} {[]}
","Version of the system - if relevant","The version of the code system which was used when choosing this code. Note that a well-maintained code system does not need the version reported, because the meaning of codes is consistent across versions. However this cannot consistently be assured. and when the meaning is not guaranteed to be consistent, the version SHOULD be exchanged.","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.","","","","","","","","",,,,,"",,,,"Coding.version",0,1,"",""
"sw-ExchangeForm-WoundComprehensiveHistory-model.typeCode.code","","","",1,1,"","","Y","code {[]} {[]}
","Symbol in syntax defined by the system","A symbol in syntax defined by the system. The symbol may be a predefined code or an expression in a syntax defined by the coding system (e.g. post-coordination).","","Need to refer to a particular code in the system.","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""39135-9""/>","","","","",,,,,"",,,,"Coding.code",0,1,"",""
"sw-ExchangeForm-WoundComprehensiveHistory-model.typeCode.display","","","",0,1,"","","Y","string {[]} {[]}
","Representation defined by the system","A representation of the meaning of the code in the system, following the rules of the system.","","Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.","","","","","","","",,,,,"",,,,"Coding.display",0,1,"",""
"sw-ExchangeForm-WoundComprehensiveHistory-model.typeCode.userSelected","","","",0,1,"","","Y","boolean {[]} {[]}
","If this coding was chosen directly by the user","Indicates that this coding was chosen by a user directly - i.e. off a pick list of available items (codes or displays).","Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.","This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.","","","","","","","",,,,,"",,,,"Coding.userSelected",0,1,"",""
"sw-ExchangeForm-WoundComprehensiveHistory-model.statement","","","",1,1,"","","","","Base class for all types of clinical statements.","Base class for all types of clinical statements.","","","","","","","","","",,,,,"",,,,"sw-ExchangeForm-WoundComprehensiveHistory-model.statement",1,1,"",""
